,nobs,mean,skew,kurtosis,median,mode,std,low,peak,q25,q75,iqr,user_name,sample_date,age_range,pronunciation,gender
0,85,148.41176470588235,-0.17087176474090537,-1.218425377387011,140.0,90.0,67.57658733399714,25.0,260.0,90.0,205.00000000000003,115.00000000000003,1028,20100710,Adult,American,Male
1,103,186.11650485436894,-1.2417164926579223,0.0651248052384572,210.0,220.0,76.69107123519291,25.0,270.0,185.0,232.5,47.5,1337ad,20170321,Adult,Other,Female
2,117,192.35042735042734,-1.4024134186052113,0.7270917225152598,210.0,200.0,67.43332461808585,25.0,265.0,190.0,235.00000000000003,45.00000000000003,1337ad,20170321,Adult,Other,Female
3,119,157.66106442577032,-0.5328782854316007,-1.508620006689171,205.00000000000003,30.0,92.22058748817128,25.0,270.0,40.0,227.5,187.5,1337ad,20170321,Unknown,Other,not_specified
4,34,159.55882352941177,-0.8936932754950488,-0.6364477344964783,185.0,25.0,73.74805727310445,25.0,245.0,122.5,215.0,92.5,1snoke,20120412,Adult,American,Male
5,200,147.47833333333332,0.2665501384988831,-1.0974574196387217,135.0,100.0,74.87409118350323,25.0,275.0,100.0,220.0,120.0,23yipikaye,20100807,Adult,Other,Male
8,84,149.86904761904762,-0.15071407215579097,-1.130314258670329,170.0,80.0,55.08106142463487,24.0,250.0,95.0,190.0,95.0,314piwm,20130617,Youth,American,Male
9,97,113.19587628865979,0.20994946642836343,3.2530558207152867,120.0,130.0,43.69638433112701,25.0,265.0,110.0,130.0,20.0,AJN,20131002,Adult,Other,Male
10,83,117.65060240963855,1.0056350672273335,0.9751555623394381,105.0,85.0,44.37882750774747,25.0,240.0,90.0,125.0,35.0,AT,20130718,Adult,British,Male
11,82,173.95652009492596,-0.42975915528971914,-0.8857336137346636,205.00000000000003,120.0,56.45851249573613,22.03856749311295,265.0,120.0,220.0,100.0,Aaron,20080318,Adult,Other,Male
12,101,158.5148514851485,0.19096369118559497,-0.9971871945058663,130.0,115.0,55.26060918908006,25.0,270.0,120.0,210.0,90.0,Aaron,20080318,Adult,Other,Male
13,85,163.2850331238738,-0.5721638735224067,-0.25250358004858153,150.0,125.0,55.83958391168591,25.0,260.0,125.0,210.0,85.0,Aaron,20080318,Adult,Other,Male
14,90,183.612210818113,-1.079953770982832,0.08190675478326037,215.0,220.0,69.8437896356944,25.0,270.0,126.25,230.0,103.75,Aaron,20080318,Adult,Other,Male
15,79,169.80716905240743,0.2384394624350021,-1.5216348553970815,150.0,130.0,51.11002150921379,74.76635514018692,275.0,125.0,220.0,95.0,Aaron,20080318,Adult,Other,Male
16,92,170.1086956521739,0.24106995327807915,-1.6468821393942548,145.0,115.0,51.93525578978938,100.0,260.0,120.0,230.0,110.0,Aaron,20080318,Adult,Other,Male
18,80,130.64583333333334,0.1834532253728534,0.14009023339812066,130.0,120.0,60.29642848622499,25.0,270.0,120.0,150.0,30.0,AbdulMoiz,20121010,Youth,British,Male
19,202,112.99587803968681,1.8889340737716849,9.521760741620461,110.0,110.0,32.944491977331296,25.0,260.0,105.0,115.0,10.0,Adminvox,05232006,Unknown,Other,Male
20,229,125.81243018178125,1.4285845466687392,1.9832801827031306,110.0,110.0,46.363408191477724,25.0,265.0,105.0,125.0,20.0,Adminvox,05262006,Unknown,Other,Male
21,40,164.25,-0.11099565027179677,-1.6592945251345164,187.5,100.0,56.92703663462555,85.0,245.0,100.0,211.25,111.25,AdrianMcNear,20091016,Adult,American,Male
22,219,241.691672102631,-1.7707043689300368,2.0129129254323965,265.0,265.0,39.215371157622634,120.0,275.0,240.0,265.0,25.0,Afshad,20090813,Adult,American,Male
23,94,140.58510638297872,0.45122999817318954,0.2800298057885229,130.0,130.0,55.461585243794104,25.0,265.0,120.0,155.0,35.0,Afzal,20110524,Adult,Indian,Male
24,136,125.58823529411765,1.3022217609128404,1.1484406565812382,110.0,105.0,49.2967411206979,25.0,260.0,100.0,125.0,25.0,Airwings,20101216,Adult,Other,Male
25,84,136.07142857142858,0.7932655253945098,-0.33784190160295235,110.0,105.0,59.41215718831212,25.0,275.0,100.0,153.75,53.75,Airwings,20101216,Adult,Other,Male
26,93,119.24731182795699,1.6513039551661257,7.534424060032785,115.0,115.0,37.08422726886148,25.0,270.0,110.0,125.0,15.0,Akhansson,20120423,Youth,European,Male
28,113,107.53687315634218,1.6972225257980915,6.845922652214378,105.0,110.0,36.18216865624917,25.0,275.0,95.0,110.0,15.0,AlexW,20110510,Adult,American,Male
29,52,189.1346153846154,0.08359014321824745,-1.51026561882614,182.5,135.0,51.475546414761105,110.0,275.0,138.75,240.0,101.25,AlexanderHenningDrachmann,20140108,Adult,European,Male
30,65,171.6153846153846,0.9864628657114431,-0.4571225124243763,155.0,135.0,45.868605756910036,115.0,275.0,135.0,180.0,45.0,AlexanderHenningDrachmann,20140108,Adult,European,Male
31,61,207.70491803278688,-0.28410124745113424,-1.5067205193614235,220.0,260.0,51.64962166788741,120.0,275.0,165.0,260.0,95.0,AlexanderHenningDrachmann,20140108,Adult,European,Male
32,56,199.55357142857142,-0.20381845698414627,-1.2639770407769289,195.0,135.0,49.499971011123236,110.0,265.0,168.75,250.0,81.25,AlexanderHenningDrachmann,20140108,Adult,European,Male
33,69,179.34782608695653,0.44539207158219635,-0.8988170169974534,180.0,185.0,46.069520902041816,115.0,275.0,135.0,210.0,75.0,AlexanderHenningDrachmann,20140108,Adult,European,Male
34,75,192.8,0.0072485111517489225,-1.5796896737955637,180.0,255.0,52.676623531379335,110.0,275.0,140.0,247.5,107.5,AlexanderHenningDrachmann,20140108,Adult,European,Male
35,57,193.24561403508773,0.12481825823362276,-1.3560635551095337,180.0,165.0,46.589766477333136,120.0,270.0,160.0,240.0,80.0,AlexanderHenningDrachmann,20140108,Adult,European,Male
36,239,129.82964734010758,0.49305539111206814,-0.4709959259567231,125.0,90.0,71.7408803896937,25.0,275.0,90.0,170.0,80.0,AlfredStrauss,20110812,Adult,European,Male
37,304,177.30263157894737,-0.8410310778157992,-0.0031488640763854825,190.0,90.0,55.97485801604947,35.0,275.0,160.0,215.0,55.0,Alpsa,20100604,Youth,Other,Male
38,118,220.5084745762712,-1.0717170251575987,0.9029701966081545,230.0,250.0,35.77465861986663,95.0,270.0,200.0,250.0,50.0,AmolS,20140213,Adult,Indian,Male
39,30,236.88888888888889,0.6219201633916155,-0.7753630951980801,235.00000000000003,220.0,16.00771418973511,220.0,270.0,220.0,248.75,28.75,Andrew,20120826,Adult,European,Male
